statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
광주 영천마을주공10단지1004동,광주광역시 광산구 사암로340번길 30,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.173287623449,126.8118345295,7.0,Y,외부인 사용불가
광주 영천마을주공10단지1011동,광주광역시 광산구 사암로340번길 30,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.172383340261,126.8099594821,7.0,Y,외부인 사용불가
광주 영천마을주공10단지1015동,광주광역시 광산구 사암로340번길 30,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.17455041233,126.8095208215,7.0,Y,외부인 사용불가
광주서구 금호일반아파트501동,광주광역시 서구 운천로32번길 7,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.13574849061,126.86029850981,7.0,N,외부인 사용불가
광주서구 금호일반아파트507동,광주광역시 서구 운천로32번길 7,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.136027011832,126.8595189865,7.0,N,외부인 사용불가
금호동마재마을대주파크3주차장,광주광역시 서구 화개1로24번길 9,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.12749559829,126.8556717212,7.0,N,외부인 사용불가
금호동마재마을대주파크4주차장,광주광역시 서구 화개1로24번길 9,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.128126564454,126.8556815795,7.0,N,외부인 사용불가
금호동마재마을대주파크(옥외),광주광역시 서구 화개1로24번길 9,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.126991266346,126.8560346635,7.0,N,외부인 사용불가
광주 수완영무예다음102동,광주광역시 광산구 장덕로95번길 15,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.19651516695,126.8189925039,7.0,N,외부인 사용불가
광주 수완영무예다음101동,광주광역시 광산구 장덕로95번길 15,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.195749559776,126.8190540461,7.0,N,외부인 사용불가
